Column,Average
mergesort2_10000_times_reversed_times,1250421.37
mergesort2_10000_times_nearly_sorted_times,1630238.59
mergesort2_10000_times_sorted_times,1264757.36
mergesort3_10_times_unsorted_times,1364.51
mergesort3_10_times_reversed_times,1268.8
mergesort3_10_times_nearly_sorted_times,1221.09
mergesort3_10_times_sorted_times,1165.99
mergesort3_100000_memory_unsorted_usage,400000.0
mergesort3_100000_memory_reversed_usage,400000.0
mergesort3_100000_memory_nearly_sorted_usage,400000.0
mergesort3_100000_memory_sorted_usage,400000.0
mergesort1_1000000_times_unsorted_times,194387251.38
mergesort1_1000000_times_reversed_times,190847025.46
mergesort1_1000000_times_nearly_sorted_times,239921843.91
mergesort1_1000000_times_sorted_times,194245619.03
mergesort1_100_times_unsorted_times,66818.21
mergesort1_100_times_reversed_times,17276.38
mergesort1_100_times_nearly_sorted_times,18000.92
mergesort1_100_times_sorted_times,17043.58
mergesort3_10000_times_unsorted_times,1245966.53
mergesort3_10000_times_reversed_times,1229543.97
mergesort3_10000_times_nearly_sorted_times,1599581.86
mergesort3_10000_times_sorted_times,1242229.21
mergesort1_100000_times_unsorted_times,18465491.86
mergesort1_100000_times_reversed_times,18659651.89
mergesort1_100000_times_nearly_sorted_times,22474163.08
mergesort1_100000_times_sorted_times,18402263.2
mergesort2_1000000_times_unsorted_times,144227408.08
mergesort2_1000000_times_reversed_times,134647318.13
mergesort2_1000000_times_nearly_sorted_times,192890350.47
mergesort2_1000000_times_sorted_times,144135377.04
mergesort2_10_memory_unsorted_usage,40.0
mergesort2_10_memory_reversed_usage,40.0
mergesort2_10_memory_nearly_sorted_usage,40.0
mergesort2_10_memory_sorted_usage,40.0
mergesort1_10_memory_unsorted_usage,80.0
mergesort1_10_memory_reversed_usage,80.0
mergesort1_10_memory_nearly_sorted_usage,80.0
mergesort1_10_memory_sorted_usage,80.0
mergesort4_1000000_memory_unsorted_usage,0.0
mergesort4_1000000_memory_reversed_usage,0.0
mergesort4_1000000_memory_nearly_sorted_usage,0.0
mergesort4_1000000_memory_sorted_usage,0.0
mergesort1_100000_memory_unsorted_usage,800020.0
mergesort1_100000_memory_reversed_usage,800020.0
