mergesort2_100_unsorted_times,mergesort2_100_reversed_times,mergesort2_100_nearly_sorted_times,mergesort2_100_sorted_times,mergesort1_1000_unsorted_times,mergesort1_1000_reversed_times,mergesort1_1000_nearly_sorted_times,mergesort1_1000_sorted_times,mergesort1_10_unsorted_times,mergesort1_10_reversed_times,mergesort1_10_nearly_sorted_times,mergesort1_10_sorted_times,mergesort1_100_unsorted_times,mergesort1_100_reversed_times,mergesort1_100_nearly_sorted_times,mergesort1_100_sorted_times,mergesort2_10000_unsorted_times,mergesort2_10000_reversed_times,mergesort2_10000_nearly_sorted_times,mergesort2_10000_sorted_times,mergesort1_100000_unsorted_times,mergesort1_100000_reversed_times,mergesort1_100000_nearly_sorted_times,mergesort1_100000_sorted_times,mergesort2_100000_unsorted_times,mergesort2_100000_reversed_times,mergesort2_100000_nearly_sorted_times,mergesort2_100000_sorted_times,mergesort1_10000_unsorted_times,mergesort1_10000_reversed_times,mergesort1_10000_nearly_sorted_times,mergesort1_10000_sorted_times,mergesort2_1000000_unsorted_times,mergesort2_1000000_reversed_times,mergesort2_1000000_nearly_sorted_times,mergesort2_1000000_sorted_times,mergesort1_1000000_unsorted_times,mergesort1_1000000_reversed_times,mergesort1_1000000_nearly_sorted_times,mergesort1_1000000_sorted_times,mergesort2_10_unsorted_times,mergesort2_10_reversed_times,mergesort2_10_nearly_sorted_times,mergesort2_10_sorted_times,mergesort2_1000_unsorted_times,mergesort2_1000_reversed_times,mergesort2_1000_nearly_sorted_times,mergesort2_1000_sorted_times
11265,11606,11283,11899,252488,193453,187846,186699,9105,8475,70244,7134,81162,17381,18033,20216,1307982,1257262,1214687,1235216,18443546,18423850,20024289,18243935,12769091,12992827,13081390,13077987,1759170,1728560,1939671,1813250,141697438,140204989,140955892,140715636,192486664,194374974,207421465,193889843,965,957,958,974,195672,115150,127348,124961
11165,11552,11254,11683,252003,195115,200236,186048,8801,8887,9163,7044,81216,17326,18386,20875,1260130,1224723,1176935,1180150,18433379,18061355,20139546,18214931,12826169,12916892,12854314,12866292,1839101,1875558,1836249,1865465,140434327,140804229,140780071,140637707,192267681,194057139,207687336,193476400,971,971,966,1206,195877,115955,127263,123385
11243,12344,11295,11819,294691,193543,197716,172092,8831,8631,8162,7057,81094,17363,18229,18819,1220834,1249892,1195971,1252695,18370979,18216013,19797630,18288564,13136725,12808308,12738358,12916804,1784872,1788413,1890271,1716858,141571264,141597347,140468579,140330012,194019871,193666575,210278878,193636022,978,967,962,1026,198526,116061,125407,121945
11260,11967,11252,12197,292652,190302,197153,171819,19667,8637,7709,7340,83547,17346,18120,18854,1267664,1254622,1321630,1173975,18178703,18271677,19772935,18351303,12832225,13028645,12894533,12885117,1845579,1758564,1831053,1708168,140931569,140445177,141242152,141166235,194226825,193486988,209441474,194233982,961,967,962,964,214274,115569,123104,123166
11213,11571,11234,12527,298524,173075,197436,172190,8917,8462,7571,7066,92246,17323,22516,18817,1270839,1202171,1216523,1179987,18061798,18196170,19428265,18257085,12851181,12755261,12887055,12681587,1732021,1750431,1830523,1773342,140433778,140507528,140665862,140693369,193568531,193217741,207638660,193367883,1125,976,963,975,195069,115737,116246,120710
15563,11801,11276,12063,302215,172556,197880,172081,8940,8954,7929,7109,88684,17284,18582,23602,1223187,1218521,1187923,1181035,18351437,18471999,19817847,18242875,12879605,12617760,12650919,13026299,1701421,1859111,1976636,1688517,141598506,141101135,140986776,143036700,193764424,193729619,207741779,193750921,979,969,962,951,193675,117525,116016,126341
11164,12290,11270,11997,303045,173101,188628,172028,9122,8605,7768,7087,90753,17346,17977,18936,1181003,1247498,1206939,1238912,18315781,18283180,19565914,17954255,12692903,12618425,12972005,13010636,1779519,1691493,1830845,1685023,141686736,140004071,141755107,140833145,192952045,194244634,207819948,194359950,983,961,961,961,193820,117075,116002,123412
11186,12214,11274,11944,332647,172809,185434,174156,9120,8759,7893,7080,84905,17344,18295,17004,1259165,1198647,1178574,1198757,18171694,18388017,19833266,18520453,13021828,13223361,12703076,12808275,1846064,1772940,1910893,1684607,140936656,140897417,141197942,141209181,193779552,194851176,206288748,195298110,1152,959,963,973,219893,116821,115993,126752
11197,12028,11274,11901,343953,173032,183662,172126,9291,8294,7744,7193,86192,17463,18344,16073,1245462,1174714,1215511,1201565,18335585,18071149,19858858,18051026,12710526,12925432,12815058,12693617,1810554,1737641,1827642,1728925,140367332,141568015,140607559,140632489,192956353,194417127,206985126,193957424,958,956,960,951,239925,117670,115930,125850
11179,12093,11226,12538,351668,179220,182023,172189,9088,8544,7816,7083,85842,17304,17764,15576,1360436,1185192,1220177,1301761,18100918,18109275,19798990,18329228,12989430,12595833,12650538,12725546,1700710,1765522,1820961,1767256,141310317,141297279,140841574,140556080,193044007,193559651,207547197,195129438,942,955,959,1152,208754,117822,115989,125612
